city,year,weekofyear,total_cases
sj,2008,18,32
sj,2008,19,32
sj,2008,20,32
sj,2008,21,32
sj,2008,22,32
sj,2008,23,32
sj,2008,24,32
sj,2008,25,32
sj,2008,26,32
sj,2008,27,32
sj,2008,28,25
sj,2008,29,20
sj,2008,30,45
sj,2008,31,52
sj,2008,32,43
sj,2008,33,45
sj,2008,34,38
sj,2008,35,71
sj,2008,36,70
sj,2008,37,62
sj,2008,38,43
sj,2008,39,71
sj,2008,40,58
sj,2008,41,64
sj,2008,42,46
sj,2008,43,64
sj,2008,44,44
sj,2008,45,47
sj,2008,46,74
sj,2008,47,48
sj,2008,48,40
sj,2008,49,35
sj,2008,50,50
sj,2008,51,46
sj,2008,52,34
sj,2009,1,29
sj,2009,2,37
sj,2009,3,37
sj,2009,4,35
sj,2009,5,17
sj,2009,6,19
sj,2009,7,13
sj,2009,8,9
sj,2009,9,16
sj,2009,10,7
sj,2009,11,35
sj,2009,12,13
sj,2009,13,19
sj,2009,14,17
sj,2009,15,17
sj,2009,16,10
sj,2009,17,9
sj,2009,18,10
sj,2009,19,6
sj,2009,20,7
sj,2009,21,9
sj,2009,22,4
sj,2009,23,9
sj,2009,24,10
sj,2009,25,15
sj,2009,26,24
sj,2009,27,23
sj,2009,28,29
sj,2009,29,21
sj,2009,30,24
sj,2009,31,22
sj,2009,32,42
sj,2009,33,44
sj,2009,34,42
sj,2009,35,46
sj,2009,36,64
sj,2009,37,97
sj,2009,38,76
sj,2009,39,82
sj,2009,40,85
sj,2009,41,84
sj,2009,42,76
sj,2009,43,52
sj,2009,44,64
sj,2009,45,77
sj,2009,46,81
sj,2009,47,59
sj,2009,48,68
sj,2009,49,55
sj,2009,50,70
sj,2009,51,84
sj,2009,52,82
sj,2010,53,66
sj,2010,1,70
sj,2010,2,42
sj,2010,3,30
sj,2010,4,41
sj,2010,5,36
sj,2010,6,32
sj,2010,7,29
sj,2010,8,19
sj,2010,9,26
sj,2010,10,33
sj,2010,11,26
sj,2010,12,16
sj,2010,13,9
sj,2010,14,14
sj,2010,15,11
sj,2010,16,20
sj,2010,17,21
sj,2010,18,18
sj,2010,19,28
sj,2010,20,18
sj,2010,21,21
sj,2010,22,28
sj,2010,23,30
sj,2010,24,23
sj,2010,25,18
sj,2010,26,25
sj,2010,27,39
sj,2010,28,60
sj,2010,29,28
sj,2010,30,29
sj,2010,31,43
sj,2010,32,53
sj,2010,33,61
sj,2010,34,53
sj,2010,35,31
sj,2010,36,27
sj,2010,37,55
sj,2010,38,65
sj,2010,39,37
sj,2010,40,27
sj,2010,41,54
sj,2010,42,63
sj,2010,43,42
sj,2010,44,55
sj,2010,45,51
sj,2010,46,56
sj,2010,47,46
sj,2010,48,44
sj,2010,49,29
sj,2010,50,41
sj,2010,51,49
sj,2011,52,45
sj,2011,1,37
sj,2011,2,33
sj,2011,3,31
sj,2011,4,16
sj,2011,5,5
sj,2011,6,15
sj,2011,7,8
sj,2011,8,22
sj,2011,9,9
sj,2011,10,16
sj,2011,11,10
sj,2011,12,15
sj,2011,13,16
sj,2011,14,15
sj,2011,15,16
sj,2011,16,18
sj,2011,17,10
sj,2011,18,10
sj,2011,19,4
sj,2011,20,9
sj,2011,21,12
sj,2011,22,15
sj,2011,23,18
sj,2011,24,30
sj,2011,25,19
sj,2011,26,23
sj,2011,27,22
sj,2011,28,20
sj,2011,29,21
sj,2011,30,29
sj,2011,31,20
sj,2011,32,30
sj,2011,33,27
sj,2011,34,51
sj,2011,35,54
sj,2011,36,60
sj,2011,37,51
sj,2011,38,51
sj,2011,39,42
sj,2011,40,55
sj,2011,41,46
sj,2011,42,47
sj,2011,43,57
sj,2011,44,58
sj,2011,45,37
sj,2011,46,58
sj,2011,47,69
sj,2011,48,27
sj,2011,49,52
sj,2011,50,67
sj,2011,51,51
sj,2012,52,46
sj,2012,1,38
sj,2012,2,46
sj,2012,3,37
sj,2012,4,36
sj,2012,5,32
sj,2012,6,24
sj,2012,7,14
sj,2012,8,17
sj,2012,9,18
sj,2012,10,22
sj,2012,11,23
sj,2012,12,13
sj,2012,13,13
sj,2012,14,12
sj,2012,15,12
sj,2012,16,11
sj,2012,17,18
sj,2012,18,13
sj,2012,19,21
sj,2012,20,15
sj,2012,21,16
sj,2012,22,22
sj,2012,23,20
sj,2012,24,23
sj,2012,25,18
sj,2012,26,30
sj,2012,27,27
sj,2012,28,49
sj,2012,29,29
sj,2012,30,50
sj,2012,31,46
sj,2012,32,49
sj,2012,33,98
sj,2012,34,116
sj,2012,35,140
sj,2012,36,149
sj,2012,37,101
sj,2012,38,66
sj,2012,39,92
sj,2012,40,72
sj,2012,41,77
sj,2012,42,67
sj,2012,43,65
sj,2012,44,98
sj,2012,45,57
sj,2012,46,79
sj,2012,47,98
sj,2012,48,105
sj,2012,49,109
sj,2012,50,63
sj,2012,51,58
sj,2013,1,54
sj,2013,2,72
sj,2013,3,91
sj,2013,4,69
sj,2013,5,67
sj,2013,6,53
sj,2013,7,43
sj,2013,8,33
sj,2013,9,36
sj,2013,10,25
sj,2013,11,24
sj,2013,12,18
sj,2013,13,19
sj,2013,14,11
sj,2013,15,17
sj,2013,16,12
sj,2013,17,13
iq,2010,26,7
iq,2010,27,5
iq,2010,28,7
iq,2010,29,5
iq,2010,30,1
iq,2010,31,3
iq,2010,32,4
iq,2010,33,3
iq,2010,34,5
iq,2010,35,5
iq,2010,36,6
iq,2010,37,6
iq,2010,38,7
iq,2010,39,4
iq,2010,40,6
iq,2010,41,6
iq,2010,42,6
iq,2010,43,7
iq,2010,44,13
iq,2010,45,7
iq,2010,46,7
iq,2010,47,9
iq,2010,48,9
iq,2010,49,10
iq,2010,50,9
iq,2010,51,7
iq,2011,52,6
iq,2011,1,8
iq,2011,2,8
iq,2011,3,7
iq,2011,4,6
iq,2011,5,6
iq,2011,6,6
iq,2011,7,8
iq,2011,8,8
iq,2011,9,9
iq,2011,10,7
iq,2011,11,8
iq,2011,12,9
iq,2011,13,8
iq,2011,14,9
iq,2011,15,7
iq,2011,16,7
iq,2011,17,9
iq,2011,18,12
iq,2011,19,5
iq,2011,20,6
iq,2011,21,8
iq,2011,22,7
iq,2011,23,6
iq,2011,24,7
iq,2011,25,5
iq,2011,26,6
iq,2011,27,6
iq,2011,28,5
iq,2011,29,3
iq,2011,30,4
iq,2011,31,4
iq,2011,32,4
iq,2011,33,4
iq,2011,34,5
iq,2011,35,2
iq,2011,36,2
iq,2011,37,6
iq,2011,38,6
iq,2011,39,7
iq,2011,40,7
iq,2011,41,8
iq,2011,42,12
iq,2011,43,10
iq,2011,44,6
iq,2011,45,8
iq,2011,46,9
iq,2011,47,9
iq,2011,48,8
iq,2011,49,11
iq,2011,50,9
iq,2011,51,9
iq,2012,52,12
iq,2012,1,9
iq,2012,2,9
iq,2012,3,9
iq,2012,4,6
iq,2012,5,8
iq,2012,6,11
iq,2012,7,8
iq,2012,8,7
iq,2012,9,6
iq,2012,10,6
iq,2012,11,6
iq,2012,12,6
iq,2012,13,8
iq,2012,14,6
iq,2012,15,9
iq,2012,16,12
iq,2012,17,9
iq,2012,18,9
iq,2012,19,5
iq,2012,20,4
iq,2012,21,6
iq,2012,22,5
iq,2012,23,6
iq,2012,24,4
iq,2012,25,2
iq,2012,26,4
iq,2012,27,3
iq,2012,28,3
iq,2012,29,4
iq,2012,30,2
iq,2012,31,2
iq,2012,32,3
iq,2012,33,2
iq,2012,34,3
iq,2012,35,4
iq,2012,36,4
iq,2012,37,4
iq,2012,38,5
iq,2012,39,5
iq,2012,40,4
iq,2012,41,7
iq,2012,42,9
iq,2012,43,8
iq,2012,44,10
iq,2012,45,9
iq,2012,46,12
iq,2012,47,14
iq,2012,48,15
iq,2012,49,11
iq,2012,50,12
iq,2012,51,10
iq,2013,1,10
iq,2013,2,8
iq,2013,3,6
iq,2013,4,11
iq,2013,5,8
iq,2013,6,14
iq,2013,7,10
iq,2013,8,11
iq,2013,9,8
iq,2013,10,9
iq,2013,11,13
iq,2013,12,14
iq,2013,13,13
iq,2013,14,10
iq,2013,15,8
iq,2013,16,11
iq,2013,17,9
iq,2013,18,4
iq,2013,19,5
iq,2013,20,9
iq,2013,21,6
iq,2013,22,7
iq,2013,23,7
iq,2013,24,5
iq,2013,25,5
iq,2013,26,5
