city,year,weekofyear,total_cases
sj,2008,18,22
sj,2008,19,22
sj,2008,20,22
sj,2008,21,22
sj,2008,22,22
sj,2008,23,22
sj,2008,24,22
sj,2008,25,22
sj,2008,26,22
sj,2008,27,15
sj,2008,28,22
sj,2008,29,14
sj,2008,30,37
sj,2008,31,42
sj,2008,32,49
sj,2008,33,41
sj,2008,34,23
sj,2008,35,55
sj,2008,36,117
sj,2008,37,80
sj,2008,38,44
sj,2008,39,51
sj,2008,40,40
sj,2008,41,70
sj,2008,42,44
sj,2008,43,55
sj,2008,44,83
sj,2008,45,63
sj,2008,46,50
sj,2008,47,41
sj,2008,48,51
sj,2008,49,26
sj,2008,50,61
sj,2008,51,111
sj,2008,52,17
sj,2009,1,28
sj,2009,2,24
sj,2009,3,45
sj,2009,4,26
sj,2009,5,37
sj,2009,6,14
sj,2009,7,10
sj,2009,8,11
sj,2009,9,10
sj,2009,10,18
sj,2009,11,12
sj,2009,12,11
sj,2009,13,18
sj,2009,14,15
sj,2009,15,6
sj,2009,16,7
sj,2009,17,8
sj,2009,18,9
sj,2009,19,8
sj,2009,20,15
sj,2009,21,9
sj,2009,22,19
sj,2009,23,14
sj,2009,24,16
sj,2009,25,16
sj,2009,26,21
sj,2009,27,23
sj,2009,28,32
sj,2009,29,23
sj,2009,30,23
sj,2009,31,20
sj,2009,32,46
sj,2009,33,29
sj,2009,34,35
sj,2009,35,37
sj,2009,36,62
sj,2009,37,52
sj,2009,38,55
sj,2009,39,71
sj,2009,40,48
sj,2009,41,59
sj,2009,42,41
sj,2009,43,43
sj,2009,44,61
sj,2009,45,70
sj,2009,46,75
sj,2009,47,61
sj,2009,48,46
sj,2009,49,17
sj,2009,50,46
sj,2009,51,61
sj,2009,52,152
sj,2010,53,88
sj,2010,1,64
sj,2010,2,87
sj,2010,3,39
sj,2010,4,52
sj,2010,5,23
sj,2010,6,29
sj,2010,7,18
sj,2010,8,22
sj,2010,9,33
sj,2010,10,22
sj,2010,11,20
sj,2010,12,28
sj,2010,13,9
sj,2010,14,17
sj,2010,15,13
sj,2010,16,20
sj,2010,17,17
sj,2010,18,23
sj,2010,19,23
sj,2010,20,19
sj,2010,21,39
sj,2010,22,42
sj,2010,23,19
sj,2010,24,30
sj,2010,25,12
sj,2010,26,18
sj,2010,27,62
sj,2010,28,50
sj,2010,29,25
sj,2010,30,129
sj,2010,31,71
sj,2010,32,53
sj,2010,33,50
sj,2010,34,49
sj,2010,35,77
sj,2010,36,76
sj,2010,37,61
sj,2010,38,51
sj,2010,39,82
sj,2010,40,73
sj,2010,41,67
sj,2010,42,81
sj,2010,43,85
sj,2010,44,173
sj,2010,45,71
sj,2010,46,47
sj,2010,47,63
sj,2010,48,44
sj,2010,49,91
sj,2010,50,44
sj,2010,51,110
sj,2011,52,41
sj,2011,1,33
sj,2011,2,30
sj,2011,3,27
sj,2011,4,8
sj,2011,5,12
sj,2011,6,19
sj,2011,7,9
sj,2011,8,11
sj,2011,9,13
sj,2011,10,13
sj,2011,11,34
sj,2011,12,11
sj,2011,13,9
sj,2011,14,12
sj,2011,15,12
sj,2011,16,20
sj,2011,17,11
sj,2011,18,10
sj,2011,19,10
sj,2011,20,8
sj,2011,21,13
sj,2011,22,17
sj,2011,23,22
sj,2011,24,20
sj,2011,25,20
sj,2011,26,25
sj,2011,27,15
sj,2011,28,27
sj,2011,29,18
sj,2011,30,23
sj,2011,31,16
sj,2011,32,114
sj,2011,33,76
sj,2011,34,75
sj,2011,35,72
sj,2011,36,67
sj,2011,37,42
sj,2011,38,185
sj,2011,39,46
sj,2011,40,104
sj,2011,41,57
sj,2011,42,112
sj,2011,43,62
sj,2011,44,92
sj,2011,45,72
sj,2011,46,44
sj,2011,47,33
sj,2011,48,52
sj,2011,49,59
sj,2011,50,116
sj,2011,51,61
sj,2012,52,32
sj,2012,1,20
sj,2012,2,24
sj,2012,3,21
sj,2012,4,22
sj,2012,5,21
sj,2012,6,28
sj,2012,7,16
sj,2012,8,20
sj,2012,9,8
sj,2012,10,14
sj,2012,11,11
sj,2012,12,9
sj,2012,13,8
sj,2012,14,13
sj,2012,15,9
sj,2012,16,11
sj,2012,17,21
sj,2012,18,9
sj,2012,19,7
sj,2012,20,19
sj,2012,21,20
sj,2012,22,26
sj,2012,23,12
sj,2012,24,21
sj,2012,25,16
sj,2012,26,23
sj,2012,27,18
sj,2012,28,39
sj,2012,29,23
sj,2012,30,29
sj,2012,31,26
sj,2012,32,31
sj,2012,33,65
sj,2012,34,69
sj,2012,35,79
sj,2012,36,71
sj,2012,37,81
sj,2012,38,48
sj,2012,39,52
sj,2012,40,54
sj,2012,41,50
sj,2012,42,58
sj,2012,43,31
sj,2012,44,49
sj,2012,45,40
sj,2012,46,52
sj,2012,47,66
sj,2012,48,52
sj,2012,49,91
sj,2012,50,50
sj,2012,51,35
sj,2013,1,50
sj,2013,2,38
sj,2013,3,67
sj,2013,4,43
sj,2013,5,159
sj,2013,6,38
sj,2013,7,28
sj,2013,8,22
sj,2013,9,17
sj,2013,10,11
sj,2013,11,17
sj,2013,12,10
sj,2013,13,17
sj,2013,14,10
sj,2013,15,10
sj,2013,16,13
sj,2013,17,7
iq,2010,26,10
iq,2010,27,11
iq,2010,28,14
iq,2010,29,3
iq,2010,30,2
iq,2010,31,5
iq,2010,32,6
iq,2010,33,3
iq,2010,34,3
iq,2010,35,3
iq,2010,36,2
iq,2010,37,9
iq,2010,38,2
iq,2010,39,14
iq,2010,40,4
iq,2010,41,2
iq,2010,42,9
iq,2010,43,11
iq,2010,44,4
iq,2010,45,12
iq,2010,46,13
iq,2010,47,9
iq,2010,48,11
iq,2010,49,4
iq,2010,50,14
iq,2010,51,15
iq,2011,52,3
iq,2011,1,18
iq,2011,2,7
iq,2011,3,9
iq,2011,4,3
iq,2011,5,3
iq,2011,6,10
iq,2011,7,20
iq,2011,8,8
iq,2011,9,9
iq,2011,10,8
iq,2011,11,10
iq,2011,12,8
iq,2011,13,7
iq,2011,14,9
iq,2011,15,7
iq,2011,16,8
iq,2011,17,6
iq,2011,18,11
iq,2011,19,3
iq,2011,20,16
iq,2011,21,5
iq,2011,22,9
iq,2011,23,5
iq,2011,24,4
iq,2011,25,7
iq,2011,26,6
iq,2011,27,6
iq,2011,28,9
iq,2011,29,2
iq,2011,30,1
iq,2011,31,3
iq,2011,32,4
iq,2011,33,5
iq,2011,34,5
iq,2011,35,2
iq,2011,36,5
iq,2011,37,8
iq,2011,38,12
iq,2011,39,4
iq,2011,40,4
iq,2011,41,11
iq,2011,42,13
iq,2011,43,11
iq,2011,44,4
iq,2011,45,23
iq,2011,46,9
iq,2011,47,9
iq,2011,48,14
iq,2011,49,8
iq,2011,50,26
iq,2011,51,13
iq,2012,52,9
iq,2012,1,7
iq,2012,2,14
iq,2012,3,6
iq,2012,4,6
iq,2012,5,27
iq,2012,6,9
iq,2012,7,6
iq,2012,8,8
iq,2012,9,5
iq,2012,10,7
