city,year,weekofyear,total_cases
sj,2008,18,28
sj,2008,19,28
sj,2008,20,28
sj,2008,21,28
sj,2008,22,28
sj,2008,23,28
sj,2008,24,28
sj,2008,25,28
sj,2008,26,28
sj,2008,27,28
sj,2008,28,27
sj,2008,29,23
sj,2008,30,49
sj,2008,31,51
sj,2008,32,44
sj,2008,33,47
sj,2008,34,40
sj,2008,35,59
sj,2008,36,60
sj,2008,37,56
sj,2008,38,45
sj,2008,39,61
sj,2008,40,56
sj,2008,41,60
sj,2008,42,50
sj,2008,43,61
sj,2008,44,54
sj,2008,45,54
sj,2008,46,64
sj,2008,47,50
sj,2008,48,45
sj,2008,49,40
sj,2008,50,51
sj,2008,51,49
sj,2008,52,39
sj,2009,1,33
sj,2009,2,42
sj,2009,3,42
sj,2009,4,42
sj,2009,5,32
sj,2009,6,29
sj,2009,7,12
sj,2009,8,11
sj,2009,9,20
sj,2009,10,3
sj,2009,11,11
sj,2009,12,9
sj,2009,13,21
sj,2009,14,19
sj,2009,15,23
sj,2009,16,14
sj,2009,17,10
sj,2009,18,8
sj,2009,19,5
sj,2009,20,13
sj,2009,21,11
sj,2009,22,0
sj,2009,23,11
sj,2009,24,8
sj,2009,25,18
sj,2009,26,31
sj,2009,27,31
sj,2009,28,32
sj,2009,29,24
sj,2009,30,26
sj,2009,31,24
sj,2009,32,44
sj,2009,33,45
sj,2009,34,46
sj,2009,35,47
sj,2009,36,57
sj,2009,37,71
sj,2009,38,62
sj,2009,39,66
sj,2009,40,67
sj,2009,41,66
sj,2009,42,65
sj,2009,43,54
sj,2009,44,60
sj,2009,45,65
sj,2009,46,67
sj,2009,47,56
sj,2009,48,62
sj,2009,49,55
sj,2009,50,63
sj,2009,51,69
sj,2009,52,69
sj,2010,53,62
sj,2010,1,63
sj,2010,2,48
sj,2010,3,36
sj,2010,4,45
sj,2010,5,41
sj,2010,6,35
sj,2010,7,37
sj,2010,8,31
sj,2010,9,31
sj,2010,10,31
sj,2010,11,27
sj,2010,12,15
sj,2010,13,9
sj,2010,14,18
sj,2010,15,7
sj,2010,16,25
sj,2010,17,24
sj,2010,18,23
sj,2010,19,38
sj,2010,20,18
sj,2010,21,25
sj,2010,22,46
sj,2010,23,42
sj,2010,24,30
sj,2010,25,20
sj,2010,26,27
sj,2010,27,45
sj,2010,28,56
sj,2010,29,33
sj,2010,30,38
sj,2010,31,47
sj,2010,32,53
sj,2010,33,57
sj,2010,34,53
sj,2010,35,37
sj,2010,36,34
sj,2010,37,56
sj,2010,38,60
sj,2010,39,43
sj,2010,40,34
sj,2010,41,56
sj,2010,42,62
sj,2010,43,50
sj,2010,44,59
sj,2010,45,56
sj,2010,46,59
sj,2010,47,51
sj,2010,48,52
sj,2010,49,40
sj,2010,50,46
sj,2010,51,51
sj,2011,52,48
sj,2011,1,44
sj,2011,2,44
sj,2011,3,43
sj,2011,4,25
sj,2011,5,14
sj,2011,6,15
sj,2011,7,1
sj,2011,8,27
sj,2011,9,9
sj,2011,10,14
sj,2011,11,0
sj,2011,12,12
sj,2011,13,17
sj,2011,14,14
sj,2011,15,12
sj,2011,16,18
sj,2011,17,20
sj,2011,18,10
sj,2011,19,0
sj,2011,20,9
sj,2011,21,6
sj,2011,22,11
sj,2011,23,21
sj,2011,24,37
sj,2011,25,24
sj,2011,26,22
sj,2011,27,30
sj,2011,28,20
sj,2011,29,19
sj,2011,30,30
sj,2011,31,18
sj,2011,32,33
sj,2011,33,27
sj,2011,34,46
sj,2011,35,49
sj,2011,36,52
sj,2011,37,46
sj,2011,38,48
sj,2011,39,41
sj,2011,40,51
sj,2011,41,46
sj,2011,42,48
sj,2011,43,54
sj,2011,44,52
sj,2011,45,41
sj,2011,46,53
sj,2011,47,58
sj,2011,48,30
sj,2011,49,49
sj,2011,50,58
sj,2011,51,50
sj,2012,52,46
sj,2012,1,39
sj,2012,2,45
sj,2012,3,38
sj,2012,4,37
sj,2012,5,39
sj,2012,6,27
sj,2012,7,22
sj,2012,8,23
sj,2012,9,19
sj,2012,10,23
sj,2012,11,28
sj,2012,12,14
sj,2012,13,16
sj,2012,14,8
sj,2012,15,8
sj,2012,16,8
sj,2012,17,20
sj,2012,18,7
sj,2012,19,25
sj,2012,20,21
sj,2012,21,16
sj,2012,22,22
sj,2012,23,20
sj,2012,24,25
sj,2012,25,30
sj,2012,26,30
sj,2012,27,29
sj,2012,28,46
sj,2012,29,28
sj,2012,30,48
sj,2012,31,43
sj,2012,32,45
sj,2012,33,67
sj,2012,34,73
sj,2012,35,78
sj,2012,36,81
sj,2012,37,69
sj,2012,38,54
sj,2012,39,65
sj,2012,40,58
sj,2012,41,61
sj,2012,42,56
sj,2012,43,56
sj,2012,44,67
sj,2012,45,51
sj,2012,46,62
sj,2012,47,70
sj,2012,48,72
sj,2012,49,74
sj,2012,50,58
sj,2012,51,56
sj,2013,1,54
sj,2013,2,59
sj,2013,3,68
sj,2013,4,58
sj,2013,5,57
sj,2013,6,50
sj,2013,7,46
sj,2013,8,39
sj,2013,9,37
sj,2013,10,29
sj,2013,11,35
sj,2013,12,24
sj,2013,13,19
sj,2013,14,10
sj,2013,15,24
sj,2013,16,14
sj,2013,17,14
iq,2010,26,8
iq,2010,27,6
iq,2010,28,8
iq,2010,29,6
iq,2010,30,-2
iq,2010,31,2
iq,2010,32,6
iq,2010,33,4
iq,2010,34,6
iq,2010,35,6
iq,2010,36,6
iq,2010,37,6
iq,2010,38,7
iq,2010,39,4
iq,2010,40,7
iq,2010,41,6
iq,2010,42,7
iq,2010,43,8
iq,2010,44,12
iq,2010,45,8
iq,2010,46,8
iq,2010,47,10
iq,2010,48,10
iq,2010,49,11
iq,2010,50,10
iq,2010,51,8
iq,2011,52,7
iq,2011,1,8
iq,2011,2,9
iq,2011,3,8
iq,2011,4,6
iq,2011,5,7
iq,2011,6,7
iq,2011,7,9
iq,2011,8,9
iq,2011,9,10
iq,2011,10,8
iq,2011,11,8
iq,2011,12,9
iq,2011,13,9
iq,2011,14,10
iq,2011,15,7
iq,2011,16,8
iq,2011,17,9
iq,2011,18,11
iq,2011,19,5
iq,2011,20,7
iq,2011,21,8
iq,2011,22,8
iq,2011,23,6
iq,2011,24,7
iq,2011,25,5
iq,2011,26,6
iq,2011,27,7
iq,2011,28,5
iq,2011,29,3
iq,2011,30,4
iq,2011,31,4
iq,2011,32,4
iq,2011,33,4
iq,2011,34,5
iq,2011,35,1
iq,2011,36,1
iq,2011,37,7
iq,2011,38,6
iq,2011,39,7
iq,2011,40,8
iq,2011,41,8
iq,2011,42,11
iq,2011,43,10
iq,2011,44,7
iq,2011,45,9
iq,2011,46,9
iq,2011,47,10
iq,2011,48,9
iq,2011,49,11
iq,2011,50,9
iq,2011,51,9
iq,2012,52,11
iq,2012,1,9
iq,2012,2,9
iq,2012,3,9
iq,2012,4,6
iq,2012,5,8
iq,2012,6,10
iq,2012,7,9
iq,2012,8,8
iq,2012,9,7
iq,2012,10,7
iq,2012,11,7
iq,2012,12,7
iq,2012,13,8
iq,2012,14,6
iq,2012,15,10
iq,2012,16,11
iq,2012,17,9
iq,2012,18,9
iq,2012,19,5
iq,2012,20,5
iq,2012,21,6
iq,2012,22,6
iq,2012,23,6
iq,2012,24,4
iq,2012,25,2
iq,2012,26,4
iq,2012,27,3
iq,2012,28,3
iq,2012,29,5
iq,2012,30,1
iq,2012,31,0
iq,2012,32,3
iq,2012,33,2
iq,2012,34,2
iq,2012,35,4
iq,2012,36,4
iq,2012,37,4
iq,2012,38,5
iq,2012,39,6
iq,2012,40,4
iq,2012,41,8
iq,2012,42,9
iq,2012,43,9
iq,2012,44,10
iq,2012,45,9
iq,2012,46,12
iq,2012,47,13
iq,2012,48,13
iq,2012,49,11
iq,2012,50,11
iq,2012,51,11
iq,2013,1,10
iq,2013,2,8
iq,2013,3,7
iq,2013,4,10
iq,2013,5,8
iq,2013,6,12
iq,2013,7,10
iq,2013,8,11
iq,2013,9,8
iq,2013,10,9
iq,2013,11,11
iq,2013,12,12
iq,2013,13,12
iq,2013,14,10
iq,2013,15,9
iq,2013,16,11
iq,2013,17,9
iq,2013,18,4
iq,2013,19,6
iq,2013,20,9
iq,2013,21,7
iq,2013,22,7
iq,2013,23,7
iq,2013,24,5
iq,2013,25,5
iq,2013,26,5
