city,year,weekofyear,total_cases
sj,2008,18,10
sj,2008,19,10
sj,2008,20,10
sj,2008,21,10
sj,2008,22,10
sj,2008,23,10
sj,2008,24,5
sj,2008,25,4
sj,2008,26,10
sj,2008,27,8
sj,2008,28,8
sj,2008,29,7
sj,2008,30,10
sj,2008,31,10
sj,2008,32,10
sj,2008,33,16
sj,2008,34,10
sj,2008,35,10
sj,2008,36,13
sj,2008,37,17
sj,2008,38,17
sj,2008,39,13
sj,2008,40,17
sj,2008,41,28
sj,2008,42,17
sj,2008,43,43
sj,2008,44,43
sj,2008,45,43
sj,2008,46,26
sj,2008,47,72
sj,2008,48,16
sj,2008,49,7
sj,2008,50,10
sj,2008,51,13
sj,2008,52,5
sj,2009,1,8
sj,2009,2,7
sj,2009,3,5
sj,2009,4,5
sj,2009,5,5
sj,2009,6,3
sj,2009,7,6
sj,2009,8,16
sj,2009,9,16
sj,2009,10,4
sj,2009,11,3
sj,2009,12,11
sj,2009,13,6
sj,2009,14,4
sj,2009,15,5
sj,2009,16,3
sj,2009,17,3
sj,2009,18,3
sj,2009,19,3
sj,2009,20,3
sj,2009,21,3
sj,2009,22,3
sj,2009,23,10
sj,2009,24,3
sj,2009,25,6
sj,2009,26,10
sj,2009,27,4
sj,2009,28,23
sj,2009,29,14
sj,2009,30,17
sj,2009,31,15
sj,2009,32,17
sj,2009,33,17
sj,2009,34,13
sj,2009,35,16
sj,2009,36,13
sj,2009,37,26
sj,2009,38,26
sj,2009,39,34
sj,2009,40,13
sj,2009,41,25
sj,2009,42,72
sj,2009,43,48
sj,2009,44,13
sj,2009,45,48
sj,2009,46,26
sj,2009,47,72
sj,2009,48,72
sj,2009,49,13
sj,2009,50,43
sj,2009,51,26
sj,2009,52,26
sj,2010,53,5
sj,2010,1,72
sj,2010,2,34
sj,2010,3,15
sj,2010,4,10
sj,2010,5,7
sj,2010,6,6
sj,2010,7,17
sj,2010,8,7
sj,2010,9,8
sj,2010,10,5
sj,2010,11,14
sj,2010,12,10
sj,2010,13,3
sj,2010,14,8
sj,2010,15,8
sj,2010,16,10
sj,2010,17,10
sj,2010,18,16
sj,2010,19,26
sj,2010,20,16
sj,2010,21,7
sj,2010,22,26
sj,2010,23,26
sj,2010,24,14
sj,2010,25,59
sj,2010,26,14
sj,2010,27,17
sj,2010,28,26
sj,2010,29,14
sj,2010,30,56
sj,2010,31,14
sj,2010,32,17
sj,2010,33,29
sj,2010,34,56
sj,2010,35,56
sj,2010,36,56
sj,2010,37,33
sj,2010,38,33
sj,2010,39,14
sj,2010,40,56
sj,2010,41,43
sj,2010,42,48
sj,2010,43,43
sj,2010,44,43
sj,2010,45,10
sj,2010,46,64
sj,2010,47,17
sj,2010,48,14
sj,2010,49,14
sj,2010,50,106
sj,2010,51,5
sj,2011,52,104
sj,2011,1,10
sj,2011,2,5
sj,2011,3,5
sj,2011,4,7
sj,2011,5,3
sj,2011,6,16
sj,2011,7,10
sj,2011,8,5
sj,2011,9,3
sj,2011,10,6
sj,2011,11,6
sj,2011,12,5
sj,2011,13,3
sj,2011,14,5
sj,2011,15,3
sj,2011,16,18
sj,2011,17,3
sj,2011,18,3
sj,2011,19,3
sj,2011,20,3
sj,2011,21,16
sj,2011,22,11
sj,2011,23,6
sj,2011,24,31
sj,2011,25,6
sj,2011,26,59
sj,2011,27,31
sj,2011,28,16
sj,2011,29,56
sj,2011,30,59
sj,2011,31,59
sj,2011,32,56
sj,2011,33,56
sj,2011,34,27
sj,2011,35,56
sj,2011,36,23
sj,2011,37,17
sj,2011,38,27
sj,2011,39,17
sj,2011,40,56
sj,2011,41,27
sj,2011,42,56
sj,2011,43,33
sj,2011,44,27
sj,2011,45,15
sj,2011,46,33
sj,2011,47,17
sj,2011,48,15
sj,2011,49,27
sj,2011,50,17
sj,2011,51,17
sj,2012,52,37
sj,2012,1,17
sj,2012,2,5
sj,2012,3,5
sj,2012,4,23
sj,2012,5,6
sj,2012,6,23
sj,2012,7,3
sj,2012,8,3
sj,2012,9,6
sj,2012,10,6
sj,2012,11,3
sj,2012,12,3
sj,2012,13,3
sj,2012,14,3
sj,2012,15,3
sj,2012,16,6
sj,2012,17,6
sj,2012,18,3
sj,2012,19,6
sj,2012,20,3
sj,2012,21,17
sj,2012,22,16
sj,2012,23,6
sj,2012,24,17
sj,2012,25,4
sj,2012,26,23
sj,2012,27,14
sj,2012,28,23
sj,2012,29,17
sj,2012,30,17
sj,2012,31,17
sj,2012,32,7
sj,2012,33,26
sj,2012,34,26
sj,2012,35,26
sj,2012,36,26
sj,2012,37,26
sj,2012,38,17
sj,2012,39,25
sj,2012,40,37
sj,2012,41,37
sj,2012,42,37
sj,2012,43,17
sj,2012,44,25
sj,2012,45,7
sj,2012,46,13
sj,2012,47,26
sj,2012,48,13
sj,2012,49,25
sj,2012,50,47
sj,2012,51,17
sj,2013,1,17
sj,2013,2,37
sj,2013,3,26
sj,2013,4,23
sj,2013,5,5
sj,2013,6,5
sj,2013,7,5
sj,2013,8,5
sj,2013,9,16
sj,2013,10,5
sj,2013,11,5
sj,2013,12,3
sj,2013,13,5
sj,2013,14,3
sj,2013,15,5
sj,2013,16,3
sj,2013,17,3
iq,2010,26,8
iq,2010,27,6
iq,2010,28,8
iq,2010,29,6
iq,2010,30,0
iq,2010,31,3
iq,2010,32,5
iq,2010,33,4
iq,2010,34,6
iq,2010,35,6
iq,2010,36,6
iq,2010,37,6
iq,2010,38,7
iq,2010,39,4
iq,2010,40,7
iq,2010,41,7
iq,2010,42,8
iq,2010,43,9
iq,2010,44,13
iq,2010,45,9
iq,2010,46,8
iq,2010,47,11
iq,2010,48,10
iq,2010,49,11
iq,2010,50,10
iq,2010,51,8
iq,2011,52,8
iq,2011,1,8
iq,2011,2,9
iq,2011,3,9
iq,2011,4,6
iq,2011,5,7
iq,2011,6,8
iq,2011,7,9
iq,2011,8,8
iq,2011,9,10
iq,2011,10,7
iq,2011,11,8
iq,2011,12,9
iq,2011,13,9
iq,2011,14,9
iq,2011,15,7
iq,2011,16,8
iq,2011,17,9
iq,2011,18,10
iq,2011,19,4
iq,2011,20,6
iq,2011,21,8
iq,2011,22,7
iq,2011,23,6
iq,2011,24,7
iq,2011,25,4
iq,2011,26,6
iq,2011,27,6
iq,2011,28,5
iq,2011,29,2
iq,2011,30,4
iq,2011,31,5
iq,2011,32,4
iq,2011,33,4
iq,2011,34,5
iq,2011,35,1
iq,2011,36,1
iq,2011,37,6
iq,2011,38,6
iq,2011,39,8
iq,2011,40,8
iq,2011,41,8
iq,2011,42,11
iq,2011,43,9
iq,2011,44,8
iq,2011,45,9
iq,2011,46,10
iq,2011,47,9
iq,2011,48,9
iq,2011,49,11
iq,2011,50,9
iq,2011,51,9
iq,2012,52,11
iq,2012,1,9
iq,2012,2,9
iq,2012,3,9
iq,2012,4,7
iq,2012,5,8
iq,2012,6,10
iq,2012,7,8
iq,2012,8,7
iq,2012,9,6
iq,2012,10,7
iq,2012,11,6
iq,2012,12,6
iq,2012,13,7
iq,2012,14,6
iq,2012,15,9
iq,2012,16,10
iq,2012,17,9
iq,2012,18,9
iq,2012,19,5
iq,2012,20,5
iq,2012,21,6
