city,year,weekofyear,total_cases
sj,2008,18,21
sj,2008,19,21
sj,2008,20,21
sj,2008,21,21
sj,2008,22,21
sj,2008,23,21
sj,2008,24,21
sj,2008,25,21
sj,2008,26,36
sj,2008,27,52
sj,2008,28,38
sj,2008,29,57
sj,2008,30,35
sj,2008,31,60
sj,2008,32,56
sj,2008,33,64
sj,2008,34,45
sj,2008,35,86
sj,2008,36,62
sj,2008,37,76
sj,2008,38,51
sj,2008,39,77
sj,2008,40,64
sj,2008,41,62
sj,2008,42,78
sj,2008,43,45
sj,2008,44,53
sj,2008,45,32
sj,2008,46,35
sj,2008,47,54
sj,2008,48,31
sj,2008,49,32
sj,2008,50,44
sj,2008,51,45
sj,2008,52,40
sj,2009,1,31
sj,2009,2,27
sj,2009,3,16
sj,2009,4,19
sj,2009,5,21
sj,2009,6,12
sj,2009,7,12
sj,2009,8,11
sj,2009,9,21
sj,2009,10,18
sj,2009,11,19
sj,2009,12,16
sj,2009,13,16
sj,2009,14,15
sj,2009,15,12
sj,2009,16,18
sj,2009,17,17
sj,2009,18,13
sj,2009,19,14
sj,2009,20,13
sj,2009,21,18
sj,2009,22,27
sj,2009,23,25
sj,2009,24,25
sj,2009,25,21
sj,2009,26,29
sj,2009,27,24
sj,2009,28,40
sj,2009,29,38
sj,2009,30,45
sj,2009,31,52
sj,2009,32,61
sj,2009,33,105
sj,2009,34,63
sj,2009,35,97
sj,2009,36,71
sj,2009,37,67
sj,2009,38,91
sj,2009,39,70
sj,2009,40,81
sj,2009,41,108
sj,2009,42,77
sj,2009,43,48
sj,2009,44,76
sj,2009,45,56
sj,2009,46,89
sj,2009,47,108
sj,2009,48,93
sj,2009,49,66
sj,2009,50,76
sj,2009,51,63
sj,2009,52,33
sj,2010,53,42
sj,2010,1,34
sj,2010,2,32
sj,2010,3,35
sj,2010,4,25
sj,2010,5,28
sj,2010,6,28
sj,2010,7,21
sj,2010,8,14
sj,2010,9,14
sj,2010,10,21
sj,2010,11,11
sj,2010,12,20
sj,2010,13,21
sj,2010,14,25
sj,2010,15,33
sj,2010,16,12
sj,2010,17,16
sj,2010,18,33
sj,2010,19,39
sj,2010,20,25
sj,2010,21,18
sj,2010,22,26
sj,2010,23,39
sj,2010,24,43
sj,2010,25,32
sj,2010,26,50
sj,2010,27,49
sj,2010,28,59
sj,2010,29,72
sj,2010,30,69
sj,2010,31,35
sj,2010,32,35
sj,2010,33,63
sj,2010,34,61
sj,2010,35,39
sj,2010,36,31
sj,2010,37,71
sj,2010,38,82
sj,2010,39,63
sj,2010,40,74
sj,2010,41,64
sj,2010,42,74
sj,2010,43,56
sj,2010,44,67
sj,2010,45,49
sj,2010,46,58
sj,2010,47,52
sj,2010,48,50
sj,2010,49,48
sj,2010,50,37
sj,2010,51,36
sj,2011,52,24
sj,2011,1,22
sj,2011,2,16
sj,2011,3,10
sj,2011,4,23
sj,2011,5,14
sj,2011,6,19
sj,2011,7,10
sj,2011,8,13
sj,2011,9,16
sj,2011,10,13
sj,2011,11,12
sj,2011,12,15
sj,2011,13,21
sj,2011,14,15
sj,2011,15,13
sj,2011,16,13
sj,2011,17,13
sj,2011,18,12
sj,2011,19,13
sj,2011,20,24
sj,2011,21,20
sj,2011,22,20
sj,2011,23,27
sj,2011,24,23
sj,2011,25,24
sj,2011,26,19
sj,2011,27,14
sj,2011,28,39
sj,2011,29,19
sj,2011,30,34
sj,2011,31,36
sj,2011,32,42
sj,2011,33,42
sj,2011,34,43
sj,2011,35,34
sj,2011,36,64
sj,2011,37,45
sj,2011,38,40
sj,2011,39,49
sj,2011,40,51
sj,2011,41,34
sj,2011,42,59
sj,2011,43,78
sj,2011,44,27
sj,2011,45,46
sj,2011,46,55
sj,2011,47,42
sj,2011,48,41
sj,2011,49,36
sj,2011,50,36
sj,2011,51,32
sj,2012,52,33
sj,2012,1,33
sj,2012,2,22
sj,2012,3,20
sj,2012,4,23
sj,2012,5,19
sj,2012,6,21
sj,2012,7,22
sj,2012,8,15
sj,2012,9,17
sj,2012,10,11
sj,2012,11,13
sj,2012,12,13
sj,2012,13,17
sj,2012,14,12
sj,2012,15,20
sj,2012,16,18
sj,2012,17,19
sj,2012,18,21
sj,2012,19,18
sj,2012,20,21
sj,2012,21,32
